0.099899,0.33859
0.072929,0.15434
0.52242,0.18505
0.83707,0.062222
0.79212,0.24263
0.85505,0.19657
0.73818,0.039192
0.46848,0.089091
0.25273,0.38848
0.63929,0.22343
0.69323,0.13899
0.66626,0.36929
0.22576,0.1697
0.04596,0.2004
0.34263,0.20424
0.12687,0.21576
0.7202,0.27333
0.78313,0.20808
0.74717,0.36162
0.02798,0.092929
0.80111,0.02
0.65727,0.031515
0.45051,0.12364
0.58535,0.25414
0.01,0.17737
0.20778,0.14283
0.67525,0.32707
0.84606,0.35394
0.54939,0.21192
0.77414,0.30788
0.76515,0.17354
0.45949,0.35778
0.13586,0.18121
0.33364,0.37313
0.87303,0.30404
0.090909,0.023838
0.55838,0.13131
0.51343,0.28101
0.32465,0.073737
0.38758,0.39616
0.15384,0.046869
0.57636,0.16586
0.56737,0.34242
0.60333,0.069899
0.49545,0.4
0.70222,0.3002
0.29768,0.3501
0.9,0.035354
0.72919,0.077576
0.18081,0.26182
0.64828,0.28485
0.081919,0.23495
0.8101,0.15051
0.61232,0.18889
0.054949,0.38081
0.43253,0.050707
0.063939,0.11596
0.36061,0.16202
0.89101,0.23111
0.16283,0.32323
0.24374,0.096768
0.42354,0.26566
0.44152,0.31556
0.47747,0.15818
0.81909,0.33091
0.31566,0.04303
0.28869,0.25798
0.82808,0.27717
0.62131,0.14667
0.1898,0.29636
0.68424,0.2503
0.48646,0.23879
0.01899,0.054545
0.03697,0.26949
0.88202,0.38465
0.50444,0.066061
0.71121,0.39232
0.2797,0.2196
0.14485,0.12747
0.35162,0.29253
0.27071,0.31939
0.21677,0.34626
0.41455,0.22727
0.86404,0.10828
0.75616,0.11212
0.39657,0.13515
0.3696,0.24646
0.26172,0.027677
0.53141,0.31172
0.19879,0.081414
0.37859,0.33475
0.59434,0.37697
0.23475,0.058384
0.40556,0.19273
0.5404,0.10444
0.10889,0.28869
0.11788,0.085253
0.6303,0.10061
0.30667,0.1198
0.17182,0.36545
